symptom_text,specialty,urgency,cleaned_text
"У мого родича глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,у мого родича глибокий поріз склом сильна кровотеча не зупиняється
"Вже кілька днів швидко втомлююся, постійна сонливість без причини",endocrinologist,low,вже кілька днів швидко втомлююся постійна сонливість без причини
"Скажіть, будь ласка, чому першіння в носоглотці, сухість у носі",otolaryngologist,low,скажіть будь ласка чому першіння в носоглотці сухість у носі
"Раптово почалося: різко почало випадати волосся, нігті ламаються",endocrinologist,low,раптово почалося різко почало випадати волосся нігті ламаються
"Відчуваю, що болить плече або м'язи після тренування в залі",traumatologist,low,відчуваю що болить плече або м язи після тренування в залі
"Підкажіть, що робити, якщо різі при сечовипусканні, тягне внизу живота",urologist,medium,підкажіть що робити якщо різі при сечовипусканні тягне внизу живота
"Допоможіть, підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,допоможіть підвернув ногу є невеликий набряк але ходити можу
"Скажіть, будь ласка, чому іноді покалює зліва в грудях під час ходьби",cardiologist,low,скажіть будь ласка чому іноді покалює зліва в грудях під час ходьби
Вже кілька днів періодично німіють мізинці на руках,neurologist,low,вже кілька днів періодично німіють мізинці на руках
"Підкажіть, що робити, якщо стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,підкажіть що робити якщо стороннє тіло у дихальних шляхах дитина задихається
"У мого родича тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,у мого родича тисне серце біль віддає в ліву руку та щелепу
"Раптово почалося: коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,раптово почалося коліки в животі метеоризм ріже навколо пупка
"Скажіть, будь ласка, чому температура 38.5, кашель і озноб",therapist,medium,скажіть будь ласка чому температура 38 5 кашель і озноб
"Нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,нестерпний біль у шлунку сильне отруєння та діарея
Сухість рук та тріщини на пальцях,dermatologist,low,сухість рук та тріщини на пальцях
"Раптово почалося: стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,раптово почалося стріляє у вусі заклало ніс болять пазухи
"Раптово почалося: сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,раптово почалося сильне серцебиття тремтять руки постійно жарко
"Раптово почалося: швидко втомлююся, постійна сонливість без причини",endocrinologist,low,раптово почалося швидко втомлююся постійна сонливість без причини
"Скажіть, будь ласка, чому різко почало випадати волосся, нігті ламаються",endocrinologist,low,скажіть будь ласка чому різко почало випадати волосся нігті ламаються
"У мене різі при сечовипусканні, тягне внизу живота",urologist,medium,у мене різі при сечовипусканні тягне внизу живота
"Сильно турбує те, що очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,сильно турбує те що очі почервоніли закисають зранку виділяється гній
"Скажіть, будь ласка, чому незначні перепади тиску вечорами",cardiologist,low,скажіть будь ласка чому незначні перепади тиску вечорами
"Сильно турбує те, що стара травма коліна ниє на зміну погоди",traumatologist,low,сильно турбує те що стара травма коліна ниє на зміну погоди
Періодично німіють мізинці на руках,neurologist,low,періодично німіють мізинці на руках
"Вже кілька днів сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,вже кілька днів сильний набряк повіки вискочив великий ячмінь
"Раптово почалося: підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,раптово почалося підвернув ногу є невеликий набряк але ходити можу
"Стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,стороннє тіло у дихальних шляхах дитина задихається
"Дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,дитина задихається від гавкаючого кашлю синіють губи
"Сильно турбує те, що болить плече або м'язи після тренування в залі",traumatologist,low,сильно турбує те що болить плече або м язи після тренування в залі
"Сильно турбує те, що постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,сильно турбує те що постійна спрага п ю дуже багато води сухо в роті
"Відчуваю, що стара родимка змінила форму та потемніла",dermatologist,medium,відчуваю що стара родимка змінила форму та потемніла
"Вже кілька днів підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,вже кілька днів підозра на апендицит блювота живіт як дошка твердий
"Допоможіть, підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,допоможіть підозра на апендицит блювота живіт як дошка твердий
"Відчуваю, що в око потрапила хімічна речовина або залізна стружка",ophthalmologist,high,відчуваю що в око потрапила хімічна речовина або залізна стружка
"Відчуваю, що різко почало випадати волосся, нігті ламаються",endocrinologist,low,відчуваю що різко почало випадати волосся нігті ламаються
"Допоможіть, водянисті пухирі на ногах після алергії",dermatologist,medium,допоможіть водянисті пухирі на ногах після алергії
Раптово почалося: температура 37.2 і загальна слабкість,therapist,low,раптово почалося температура 37 2 і загальна слабкість
"Підкажіть, що робити, якщо в око потрапила хімічна речовина або залізна стружка",ophthalmologist,high,підкажіть що робити якщо в око потрапила хімічна речовина або залізна стружка
"Вже кілька днів першіння в носоглотці, сухість у носі",otolaryngologist,low,вже кілька днів першіння в носоглотці сухість у носі
"Підкажіть, що робити, якщо часті походи в туалет, але без болю",urologist,low,підкажіть що робити якщо часті походи в туалет але без болю
"Вже кілька днів глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,вже кілька днів глибокий поріз склом сильна кровотеча не зупиняється
"Підкажіть, що робити, якщо очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,підкажіть що робити якщо очі почервоніли закисають зранку виділяється гній
"Відчуваю, що нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,відчуваю що нестерпний біль у шлунку сильне отруєння та діарея
"Скажіть, будь ласка, чому сухість в очах, відчуття піску під повіками",ophthalmologist,low,скажіть будь ласка чому сухість в очах відчуття піску під повіками
"Сильно турбує те, що сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,сильно турбує те що сильна носова кровотеча яка йде вже півгодини
"Підкажіть, що робити, якщо незначні перепади тиску вечорами",cardiologist,low,підкажіть що робити якщо незначні перепади тиску вечорами
"Допоможіть, сухість в очах, відчуття піску під повіками",ophthalmologist,low,допоможіть сухість в очах відчуття піску під повіками
"Сильно турбує те, що підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,сильно турбує те що підвернув ногу є невеликий набряк але ходити можу
"Відчуваю, що дитині потрібен плановий огляд та довідка в садочок",pediatrician,low,відчуваю що дитині потрібен плановий огляд та довідка в садочок
"Вже кілька днів болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,вже кілька днів болить шлунок натщесерце ниючий біль під ребрами
"Допоможіть, ломить суглоби, застудився під кондиціонером",therapist,medium,допоможіть ломить суглоби застудився під кондиціонером
"Вже кілька днів температура 38.5, кашель і озноб",therapist,medium,вже кілька днів температура 38 5 кашель і озноб
"У мого родича раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,у мого родича раптово зник зір на одному оці гострий біль всередині
Стара родимка змінила форму та потемніла,dermatologist,medium,стара родимка змінила форму та потемніла
Раптово почалося: задишка при мінімальних фізичних навантаженнях,cardiologist,medium,раптово почалося задишка при мінімальних фізичних навантаженнях
"Допоможіть, постійна втома, немає сил зранку",therapist,low,допоможіть постійна втома немає сил зранку
"Раптово почалося: часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,раптово почалося часті перепади настрою збільшилася щитовидна залоза
"Фурункул запалився, набряк, гарячий на дотик",dermatologist,high,фурункул запалився набряк гарячий на дотик
У мого родича важкість у шлунку та постійне здуття живота,gastroenterologist,low,у мого родича важкість у шлунку та постійне здуття живота
"Вже кілька днів раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,вже кілька днів раптово зник зір на одному оці гострий біль всередині
"Підкажіть, що робити, якщо запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,підкажіть що робити якщо запалився лімфовузол під пахвою боляче торкатися
"Підкажіть, що робити, якщо постійний шум у вухах і темніє в очах",neurologist,medium,підкажіть що робити якщо постійний шум у вухах і темніє в очах
"Підкажіть, що робити, якщо малюк погано спить, капризує під час годування",pediatrician,low,підкажіть що робити якщо малюк погано спить капризує під час годування
"Раптово почалося: втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,раптово почалося втрата голосу сильний гавкаючий кашель і біль у горлі
"У мене підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,у мене підозра на апендицит блювота живіт як дошка твердий
"Вже кілька днів впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,вже кілька днів впав підозра на тріщину в ребрі боляче дихати
"Підкажіть, що робити, якщо періодичні закрепи або проблеми з травленням",gastroenterologist,low,підкажіть що робити якщо періодичні закрепи або проблеми з травленням
"Підкажіть, що робити, якщо задишка при мінімальних фізичних навантаженнях",cardiologist,medium,підкажіть що робити якщо задишка при мінімальних фізичних навантаженнях
"Вже кілька днів температура піднялася до 40, сильно знобить",therapist,high,вже кілька днів температура піднялася до 40 сильно знобить
"У мене печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,у мене печія після жирної їжі легка гіркота в роті
"Допоможіть, першіння в носоглотці, сухість у носі",otolaryngologist,low,допоможіть першіння в носоглотці сухість у носі
"Підкажіть, що робити, якщо прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,підкажіть що робити якщо прискорене серцебиття пульс 110 в стані спокою
"Відчуваю, що біль у нирках, підвищилася температура до 38",urologist,medium,відчуваю що біль у нирках підвищилася температура до 38
"Коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,коліки в животі метеоризм ріже навколо пупка
"Раптово почалося: температура піднялася до 40, сильно знобить",therapist,high,раптово почалося температура піднялася до 40 сильно знобить
"Вже кілька днів постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,вже кілька днів постійна спрага п ю дуже багато води сухо в роті
Раптово почалося: першіння в горлі та легкий нежить,therapist,low,раптово почалося першіння в горлі та легкий нежить
"Відчуваю, що тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,відчуваю що тисне серце біль віддає в ліву руку та щелепу
"Ломить суглоби, застудився під кондиціонером",therapist,medium,ломить суглоби застудився під кондиціонером
Вже кілька днів періодичні закрепи або проблеми з травленням,gastroenterologist,low,вже кілька днів періодичні закрепи або проблеми з травленням
"У мого родича запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,у мого родича запалився лімфовузол під пахвою боляче торкатися
"Допоможіть, з'явилася лупа та свербіж голови",dermatologist,low,допоможіть з явилася лупа та свербіж голови
"Сильно турбує те, що в око потрапила хімічна речовина або залізна стружка",ophthalmologist,high,сильно турбує те що в око потрапила хімічна речовина або залізна стружка
"Відчуваю, що водянисті пухирі на ногах після алергії",dermatologist,medium,відчуваю що водянисті пухирі на ногах після алергії
"У мене швидко втомлююся, постійна сонливість без причини",endocrinologist,low,у мене швидко втомлююся постійна сонливість без причини
"Вже кілька днів сильно болить горло, важко ковтати їжу",therapist,medium,вже кілька днів сильно болить горло важко ковтати їжу
"Допоможіть, врослий ніготь на великому пальці ноги",surgeon,low,допоможіть врослий ніготь на великому пальці ноги
"Підкажіть, що робити, якщо сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,підкажіть що робити якщо сильний набряк повіки вискочив великий ячмінь
У мого родича швидко втомлюються очі під час роботи за монітором,ophthalmologist,low,у мого родича швидко втомлюються очі під час роботи за монітором
"Раптово почалося: сухість в очах, відчуття піску під повіками",ophthalmologist,low,раптово почалося сухість в очах відчуття піску під повіками
"Скажіть, будь ласка, чому ниючий біль у попереку, важко нахилятися",neurologist,medium,скажіть будь ласка чому ниючий біль у попереку важко нахилятися
"У мене почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,у мене почав гірше бачити текст вдалині розмиваються літери
У мене ниючий біль у шиї після роботи за комп'ютером,neurologist,low,у мене ниючий біль у шиї після роботи за комп ютером
"Відчуваю, що сухість в очах, відчуття піску під повіками",ophthalmologist,low,відчуваю що сухість в очах відчуття піску під повіками
"У мене дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,у мене дитина задихається від гавкаючого кашлю синіють губи
"Скажіть, будь ласка, чому у немовляти температура 39, не збивається нурофеном",pediatrician,high,скажіть будь ласка чому у немовляти температура 39 не збивається нурофеном
"Відчуваю, що помітив кров у сечі, сильний біль у ділянці паху",urologist,high,відчуваю що помітив кров у сечі сильний біль у ділянці паху
"Скажіть, будь ласка, чому постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,скажіть будь ласка чому постійна спрага п ю дуже багато води сухо в роті
У мого родича легке запаморочення при різкому підйомі,neurologist,low,у мого родича легке запаморочення при різкому підйомі
У мене стара родимка змінила форму та потемніла,dermatologist,medium,у мене стара родимка змінила форму та потемніла
У мене дуже лущиться шкіра на обличчі,dermatologist,low,у мене дуже лущиться шкіра на обличчі
"Скажіть, будь ласка, чому болить плече або м'язи після тренування в залі",traumatologist,low,скажіть будь ласка чому болить плече або м язи після тренування в залі
"У мого родича сухість в очах, відчуття піску під повіками",ophthalmologist,low,у мого родича сухість в очах відчуття піску під повіками
У мене дитині потрібен плановий огляд та довідка в садочок,pediatrician,low,у мене дитині потрібен плановий огляд та довідка в садочок
"Вже кілька днів почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,вже кілька днів почав гірше бачити текст вдалині розмиваються літери
"Відчуваю, що печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,відчуваю що печія після жирної їжі легка гіркота в роті
"У мене сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,у мене сильне серцебиття тремтять руки постійно жарко
"У мене раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,у мене раптово зник зір на одному оці гострий біль всередині
"Скажіть, будь ласка, чому скаче пульс після кави або чаю",cardiologist,low,скажіть будь ласка чому скаче пульс після кави або чаю
"Скажіть, будь ласка, чому стара травма коліна ниє на зміну погоди",traumatologist,low,скажіть будь ласка чому стара травма коліна ниє на зміну погоди
"У мого родича гострий ріжучий біль в правому боці живота, нудота",surgeon,high,у мого родича гострий ріжучий біль в правому боці живота нудота
У мене температура 37.2 і загальна слабкість,therapist,low,у мене температура 37 2 і загальна слабкість
"Підкажіть, що робити, якщо профілактичний огляд чоловічого здоров'я",urologist,low,підкажіть що робити якщо профілактичний огляд чоловічого здоров я
У мене стара травма коліна ниє на зміну погоди,traumatologist,low,у мене стара травма коліна ниє на зміну погоди
Іноді покалює зліва в грудях під час ходьби,cardiologist,low,іноді покалює зліва в грудях під час ходьби
"Скажіть, будь ласка, чому стара родимка змінила форму та потемніла",dermatologist,medium,скажіть будь ласка чому стара родимка змінила форму та потемніла
"Раптово почалося: температура 38.5, кашель і озноб",therapist,medium,раптово почалося температура 38 5 кашель і озноб
"Скажіть, будь ласка, чому раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,скажіть будь ласка чому раптово зник зір на одному оці гострий біль всередині
"Підкажіть, що робити, якщо болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,підкажіть що робити якщо болить шлунок натщесерце ниючий біль під ребрами
"Допоможіть, у дитини кашель, соплі, але температури немає",pediatrician,medium,допоможіть у дитини кашель соплі але температури немає
"Раптово почалося: у немовляти температура 39, не збивається нурофеном",pediatrician,high,раптово почалося у немовляти температура 39 не збивається нурофеном
"Відчуваю, що підозра на пупкову грижу, випинання болить",surgeon,medium,відчуваю що підозра на пупкову грижу випинання болить
У мене незначні перепади тиску вечорами,cardiologist,low,у мене незначні перепади тиску вечорами
У мого родича врослий ніготь на великому пальці ноги,surgeon,low,у мого родича врослий ніготь на великому пальці ноги
Раптово почалося: стара травма коліна ниє на зміну погоди,traumatologist,low,раптово почалося стара травма коліна ниє на зміну погоди
"Скажіть, будь ласка, чому нагноєння старої подряпини, легкий набряк",surgeon,low,скажіть будь ласка чому нагноєння старої подряпини легкий набряк
"Відчуваю, що раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,відчуваю що раптово зник зір на одному оці гострий біль всередині
У мене періодично німіють мізинці на руках,neurologist,low,у мене періодично німіють мізинці на руках
"Сильно турбує те, що першіння в горлі та легкий нежить",therapist,low,сильно турбує те що першіння в горлі та легкий нежить
"Скажіть, будь ласка, чому відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,скажіть будь ласка чому відняло ліву ногу сильне оніміння половини тіла
"Відкритий перелом, рука крива, сильний біль і шок",traumatologist,high,відкритий перелом рука крива сильний біль і шок
"Допоможіть, гострий ріжучий біль в правому боці живота, нудота",surgeon,high,допоможіть гострий ріжучий біль в правому боці живота нудота
"Сильно турбує те, що страшна мігрень, таблетки не допомагають",neurologist,medium,сильно турбує те що страшна мігрень таблетки не допомагають
"Відчуваю, що дуже лущиться шкіра на обличчі",dermatologist,low,відчуваю що дуже лущиться шкіра на обличчі
"Діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,діабетична криза втрата свідомості різкий запах ацетону
"Вже кілька днів помітив кров у сечі, сильний біль у ділянці паху",urologist,high,вже кілька днів помітив кров у сечі сильний біль у ділянці паху
"Відчуваю, що першіння в носоглотці, сухість у носі",otolaryngologist,low,відчуваю що першіння в носоглотці сухість у носі
"Підкажіть, що робити, якщо постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,підкажіть що робити якщо постійна спрага п ю дуже багато води сухо в роті
Раптово почалося: важкість у шлунку та постійне здуття живота,gastroenterologist,low,раптово почалося важкість у шлунку та постійне здуття живота
"Гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,гостра затримка сечі нестерпний біль ниркова коліка
"Раптово почалося: болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,раптово почалося болить шлунок натщесерце ниючий біль під ребрами
"У мене часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,у мене часті перепади настрою збільшилася щитовидна залоза
"Сильно турбує те, що періодично німіють мізинці на руках",neurologist,low,сильно турбує те що періодично німіють мізинці на руках
"Відчуваю, що стара травма коліна ниє на зміну погоди",traumatologist,low,відчуваю що стара травма коліна ниє на зміну погоди
"Скажіть, будь ласка, чому часті походи в туалет, але без болю",urologist,low,скажіть будь ласка чому часті походи в туалет але без болю
Вже кілька днів стара травма коліна ниє на зміну погоди,traumatologist,low,вже кілька днів стара травма коліна ниє на зміну погоди
"Відчуваю, що сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,відчуваю що сильна носова кровотеча яка йде вже півгодини
У мого родича з'явилася лупа та свербіж голови,dermatologist,low,у мого родича з явилася лупа та свербіж голови
"Вже кілька днів різко почало випадати волосся, нігті ламаються",endocrinologist,low,вже кілька днів різко почало випадати волосся нігті ламаються
"У мого родича стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,у мого родича стороннє тіло у дихальних шляхах дитина задихається
"Скажіть, будь ласка, чому печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,скажіть будь ласка чому печія після жирної їжі легка гіркота в роті
"У мене сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,у мене сильна носова кровотеча яка йде вже півгодини
"Нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,нудота після їжі кисла відрижка вже кілька днів
"Підкажіть, що робити, якщо сильно болить горло, важко ковтати їжу",therapist,medium,підкажіть що робити якщо сильно болить горло важко ковтати їжу
"Раптово почалося: печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,раптово почалося печія після жирної їжі легка гіркота в роті
Стара травма коліна ниє на зміну погоди,traumatologist,low,стара травма коліна ниє на зміну погоди
"Відчуваю, що періодичний ниючий біль у ділянці попереку",urologist,low,відчуваю що періодичний ниючий біль у ділянці попереку
"Допоможіть, сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,допоможіть сильний набряк повіки вискочив великий ячмінь
Вже кілька днів ниючий біль у шиї після роботи за комп'ютером,neurologist,low,вже кілька днів ниючий біль у шиї після роботи за комп ютером
"У мене постійна втома, немає сил зранку",therapist,low,у мене постійна втома немає сил зранку
"Сильно турбує те, що відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,сильно турбує те що відняло ліву ногу сильне оніміння половини тіла
"У мого родича у немовляти температура 39, не збивається нурофеном",pediatrician,high,у мого родича у немовляти температура 39 не збивається нурофеном
Дуже лущиться шкіра на обличчі,dermatologist,low,дуже лущиться шкіра на обличчі
"Відчуваю, що страшна мігрень, таблетки не допомагають",neurologist,medium,відчуваю що страшна мігрень таблетки не допомагають
"У мене червона висипка на тілі, яка сильно чешеться",dermatologist,medium,у мене червона висипка на тілі яка сильно чешеться
"Скажіть, будь ласка, чому гострий ріжучий біль в правому боці живота, нудота",surgeon,high,скажіть будь ласка чому гострий ріжучий біль в правому боці живота нудота
"Скажіть, будь ласка, чому різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,скажіть будь ласка чому різко набрав вагу хоча дієта не змінювалася
"Сильно турбує те, що малюк погано спить, капризує під час годування",pediatrician,low,сильно турбує те що малюк погано спить капризує під час годування
У мене періодичні закрепи або проблеми з травленням,gastroenterologist,low,у мене періодичні закрепи або проблеми з травленням
"Сильно турбує те, що нагноєння старої подряпини, легкий набряк",surgeon,low,сильно турбує те що нагноєння старої подряпини легкий набряк
У мого родича в око потрапила хімічна речовина або залізна стружка,ophthalmologist,high,у мого родича в око потрапила хімічна речовина або залізна стружка
"Підкажіть, що робити, якщо стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,підкажіть що робити якщо стріляє в спині защемило нерв не можу розігнутися
"У мене ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,у мене ангіна білий наліт на мигдаликах важко ковтати
Задишка при мінімальних фізичних навантаженнях,cardiologist,medium,задишка при мінімальних фізичних навантаженнях
"Сильно турбує те, що ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,сильно турбує те що ангіна білий наліт на мигдаликах важко ковтати
"У мене часті походи в туалет, але без болю",urologist,low,у мене часті походи в туалет але без болю
У мого родича незначні перепади тиску вечорами,cardiologist,low,у мого родича незначні перепади тиску вечорами
"Вже кілька днів запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,вже кілька днів запалився лімфовузол під пахвою боляче торкатися
"Допоможіть, іноді покалює зліва в грудях під час ходьби",cardiologist,low,допоможіть іноді покалює зліва в грудях під час ходьби
"Підкажіть, що робити, якщо у немовляти температура 39, не збивається нурофеном",pediatrician,high,підкажіть що робити якщо у немовляти температура 39 не збивається нурофеном
Врослий ніготь на великому пальці ноги,surgeon,low,врослий ніготь на великому пальці ноги
Раптово почалося: водянисті пухирі на ногах після алергії,dermatologist,medium,раптово почалося водянисті пухирі на ногах після алергії
"Відчуваю, що дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,відчуваю що дитина задихається від гавкаючого кашлю синіють губи
"У мене прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,у мене прискорене серцебиття пульс 110 в стані спокою
"Раптово почалося: глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,раптово почалося глибокий поріз склом сильна кровотеча не зупиняється
"Постійна втома, немає сил зранку",therapist,low,постійна втома немає сил зранку
"Почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,почав гірше бачити текст вдалині розмиваються літери
"У мене сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,у мене сухий кашель важко вдихнути повітря хрипи в легенях
"Відчуваю, що скаче пульс після кави або чаю",cardiologist,low,відчуваю що скаче пульс після кави або чаю
